Project ,Method,Model,Approach,Original Violations,Resolved Violations,Unresolved Violations,Introduced Issues,Split Count,Cyclomatic (Before),Cognitive (Before),NPath (Before),LOC (Before),Cyclomatic Max (After),Cognitive  Max (After),NPath Max  (After),LOC Max (After) ,Cyclomatic Avg (After),Cognitive  Avg (After),NPath Avg  (After),LOC Avg  (After) ,Average reduction ,Reduction Effectiveness,Tests Total,Passed,Failed,Effectiveness level,Notes,Column 1,
cobertura,preprocessCommandLineArguments(String[] args), Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,2,11,16,,44,5,6,,13,4.5,4,,12.5,62.50%,Moderate,5,4,1,Ineffective(Test Fails),uses Java's modern try-with-resources statement,,
cobertura,preprocessCommandLineArguments(String[] args), Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,4,11,16,,44,4,3,,13,3,1.75,,8.75,71.78%,Moderate,5,5,0,Moderate,"Redundant flag removed
uses Java's modern try-with-resources statement
Single responsibility principle",,"
"
cobertura,preprocessCommandLineArguments(String[] args), Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,3,11,16,,44,5,6,,13,3.67,3,,10.33,62.50%,Moderate,5,4,1,Ineffective(Test Fails),"Redundant flag removed
uses Java's modern try-with-resources statement
Single responsibility principle",,
cobertura,preprocessCommandLineArguments(String[] args), Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,3,11,16,,44,5,3,,13,3.67,3,,10.33,68.75%,Moderate,5,4,1,Ineffective(Test Fails),"Redundant flag removed
uses Java's modern try-with-resources statement
Single responsibility principle",,
cobertura,preprocessCommandLineArguments(String[] args), R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,1,11,16,,44,8,9,,26,8,9,,26,37.31%,Low,5,3,2,Ineffective(Test Fails),"Redundant flag removed
",,
cobertura,preprocessCommandLineArguments(String[] args), R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,3,11,16,,44,5,6,,13,3.67,3,,10.67,62.50%,Moderate,5,5,1,Ineffective(Test Fails),"Redundant flag removed
uses Java's modern try-with-resources statement
Single responsibility principle",,
cobertura,merge(CoverageData coverageData), Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,2,11,18,,31,5,10,,15,4,6,,12.5,50.20%,Moderate,7,,,Ineffective(Error or Untestable),"Caused type inference failure due to generic method usage with raw or unresolved types
Build failed",,
cobertura,merge(CoverageData coverageData), Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,4,11,18,,31,3,2,,11,3,2,,10.25,75.38%,Moderate,7,,,Ineffective(Error or Untestable),"Caused type inference failure due to generic method usage with raw or unresolved types
Build failed",,
cobertura,merge(CoverageData coverageData), Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,6,11,18,,31,3,3,,8,2.67,2.4,,7.83,76.75%,Moderate,7,7,0,Moderate,"Single responsibility principle
Enhanced structure",,
cobertura,merge(CoverageData coverageData), Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,7,11,18,,31,3,3,,8,2.43,2.4,,7.14,76.75%,Moderate,7,7,0,Moderate,"Single responsibility principle
Enhanced structure",,
